OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
11,Crosby Canyon Trail,Road 231,Crosby Canyon Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,d8995bb5-b73c-40b6-86f5-d8bec537b61f
12,Fortymile Ridge Trail,,Fortymile Ridge Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,93016513-c4b7-413f-a70f-6f1087251b27
13,Gunsight Canyon Trail,Road 265,Gunsight Canyon Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,5d7e4f6d-f6b2-44af-a9c9-48dfac9da49a
14,Smoky Mountain Road,Road 230,Smoky Mountain Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,65ce3d39-fc8e-45eb-a2fd-f56084ce8cef
15,Grand Bench Trail,,Grand Bench Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,941efb06-9b05-4870-a805-680804656dd4
16,Little Valley Road,,Little Valley Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,79b230bd-ad58-4215-a94c-00fb7d03a982
17,Harris Wash Trail,,Harris Wash Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,471c1539-b0f3-4679-87c8-b1ac3716fa21
18,Flint Trail Spur Trail,,Flint Trail Spur Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Heads-Up Digitized,NAIP 2009 imagery,2014-07-31T00:00:00.000Z,,Yes,99527f29-ea06-40ef-b6dd-c4d837b87cff
19,Flint Trail Spur Trail,,Flint Trail Spur Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Heads-Up Digitized,NAIP 2009 imagery,2014-07-31T00:00:00.000Z,,Yes,46272b00-8386-41bc-90b5-1056ab9d5485
20,Moody Creek Road,,Moody Creek Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,16efd509-ecc4-488a-b072-e6387059201b
21,Trail,,Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Heads-Up Digitized,NAIP 2009 imagery,2014-07-31T00:00:00.000Z,,Yes,737babda-e431-43f2-9de5-82c8e4b4de8d
22,Sunset Pass Spur Trail,,Sunset Pass Spur Trail,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,cany_roads.mbd,2014-07-31T00:00:00.000Z,,Yes,679d5401-6aaf-436d-86f2-9201a30e4d39
23,Golden Stairs Road,,Golden Stairs Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,2f29cd1a-cc3d-4328-beb0-6c17608572aa
24,Moody Canyon Road,Road 332,Moody Canyon Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,roadsall.shp,2014-07-31T00:00:00.000Z,,Yes,b55f2946-7179-482b-b220-dabd361173bc
25,Moody Canyon Road,Road 332,Moody Canyon Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,roadsall.shp,2014-07-31T00:00:00.000Z,,Yes,8f737b67-1053-4de6-9982-4324d6a5e138
26,Queen Annes Bottom Road,Road 763,Queen Annes Bottom Road,Park Trail,Existing,,Standard Terra Trail,,Hiker/Pedestrian,GLCA,Glen Canyon National Recreation Area,2015-04-13T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,5fd3bab3-a820-428e-a9f1-c1bfc56deb62
