OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,UNITNAME,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
53,Upheaval Dome Trail,First Overlook Trail,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,2002-07-11T00:00:00.000Z,,Yes,50e49958-e68e-4b1f-b993-2418794102f6
54,Upheaval Dome Trail,Second Overlook Trail,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,2002-07-11T00:00:00.000Z,,Yes,d25f62b4-9f9d-4cf8-984b-06ed2bf4c8e6
55,Syncline Loop Trail,Upheaval Dome Trail,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,2002-06-26T00:00:00.000Z,,Yes,4a3dd96d-1062-415d-853b-3cfc3e1da8af
56,Labrynth Cg Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,<Null>,2014-07-31T00:00:00.000Z,,Yes,aff39b4d-e885-48d9-a07a-0e91f6c685db
57,Pullout,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,<Null>,2014-07-31T00:00:00.000Z,,Yes,3f920758-386d-413a-8ca4-a1c89e8e712f
58,Roadside Ruin Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,2fb11dff-cffb-490b-a977-d5a51481eeb8
59,Peekaboo Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,b9b66b44-b242-41a4-92f8-1415c31fd002
60,Squaw Canyon Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,bebb9afd-3fa9-49e7-8a31-495037ee1e63
61,Big Spring to Elephant Canyon Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,a3c0c272-25b0-42f1-9f2a-d30791bba0f5
62,Big Spring Canyon Overlook Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,<Null>,2014-07-31T00:00:00.000Z,,Yes,8dde0fcd-c5c6-4340-8508-b09125f48ae2
63,Devils Kitchen to Elephant Canyon Trail,<Null>,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,6828eda7-471b-44ee-9230-12a8e1554c81
64,Confluence Overlook Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,3a55e373-6886-479b-aaf4-6b3fdb5b4607
65,Big Spring Canyon Overlook Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,c2954bc9-c2a4-430a-b426-898cdf10744d
66,Pothole Point Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,e4a0e581-87bb-4c65-9d65-cee0a8718693
67,Devils Kitchen Trail,Devils Pocket Trail,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,25e92428-a134-43cb-870c-b7b65a1d162a
68,Devils Kitchen Trail,Chesler Park Loop Trail,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,<Null>,,,Yes,78180e6e-88d7-43fd-b8fb-40e114205447
69,Devils Kitchen Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,d9c91127-94bf-4d84-a116-3cc049c5cb45
70,Colorado River Overlook Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,f148a1fa-9fcd-4c43-92ed-a67076726d26
71,Chimney Rock Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,d3d2b26e-4d62-4d80-9d85-063b22fce5a7
72,Surprise Valley Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,<Null>,2014-07-31T00:00:00.000Z,,Yes,0557850e-3b30-4286-8274-4fad5d48b24a
73,Horseshoe Canyon Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,6f974f69-2b37-486d-b615-cb4ec23e2c27
74,Lower Red Lake Canyon Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,980380e0-afb5-4f48-aa79-ca9050113169
75,Big Spring Canyon Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,<Null>,,,Yes,6b5f2259-1c79-4865-9f8b-e7e43927c10e
76,Joint Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,<Null>,2015-04-03T00:00:00.000Z,,Yes,3908fd3d-35e0-4c2a-a30b-c52d24e20a59
77,Fort Bottom Ruins Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,2015-04-03T00:00:00.000Z,,Yes,e801a4fa-f047-44a7-b6d9-883913a3ce48
78,Wilhite Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,2002-07-17T00:00:00.000Z,,Yes,bb1c95cd-60b1-46ca-bfd8-5505dce76e51
79,Beehive Arch Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,95cfaeef-ad93-44e3-8248-230e13610181
80,Salt Creek Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,f925a68c-03e4-4e54-a0c6-995ad66ae903
81,Chesler Park Trail,to Druid Arch Trail,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,5ecf8223-2a40-4801-83fe-ccc24497e37b
82,Druid Arch Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,8342a853-d194-44e2-8d52-ff5d464bed2a
83,Doll House Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,5ca3acc7-b3ac-4a21-a486-c0e333727432
84,Juniper Fork to Chimney Rock Trail,Petes Mesa Route,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,Canyonlands National Park,2015-09-08T00:00:00.000Z,Unknown,,,,Yes,4d5f936e-eab2-42f7-a8b7-22e821627d31
