Park Name,1979 Recreational Visits,1979 Average Recreational Visits,1979 Non-Recreational Visits,1979 Average Non-Recreational Visits,1979 Recreational Hours,1979 Average Recreational Hours,1979 Non-Recreational Hours,1979 Average Non-Recreational Hours,1979 Concessioner Lodging,1979 Average Concessioner Lodging,1979 Concessioner Camping,1979 Average Concessioner Camping,1979 Tent Overnights,1979 Average Tent Overnights,1979 RV Overnights,1979 Average RV Overnights,1979 Backcountry Overnights,1979 Average Backcountry Overnights,1979 Non-recreational Overnights,1979 Average Non-recreational Overnights,1979 Miscellaneous Overnights,1979 Average Miscellaneous Overnights
Gateway Arch NP,"1,859,431","1,859,431","39,048","39,048","1,989,885","1,989,885","6,507","6,507",0,0,0,0,0,0,0,0,0,0,0,0,1,1
Gateway NRA,"8,773,128","8,773,128","322,526","322,526","33,520,216","33,520,216","76,603","76,603",0,0,0,0,0,0,0,0,0,0,0,0,"12,840","12,840"
General Grant NMEM,"35,117","35,117",240,240,"35,117","35,117",240,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Rogers Clark NHP,"78,748","78,748",222,222,"104,994","104,994",278,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Washington Birthplace NM,"122,579","122,579","4,230","4,230","245,108","245,108","4,230","4,230",0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Washington Carver NM,"49,112","49,112",0,0,"63,846","63,846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Washington MEM PKWY,"4,677,978","4,677,978",0,0,"3,818,894","3,818,894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gettysburg NMP,"994,035","994,035","74,400","74,400","2,674,196","2,674,196","12,397","12,397",0,0,0,0,0,0,0,0,0,0,0,0,"5,829","5,829"
Gila Cliff Dwellings NM,"31,933","31,933",0,0,"31,933","31,933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glacier Bay NP & PRES,"91,032","91,032","31,585","31,585","1,494,311","1,494,311","644,670","644,670","11,737","11,737",0,0,"1,399","1,399",0,0,"3,028","3,028","13,134","13,134","13,050","13,050"
Glacier NP,"1,446,086","1,446,086",150,150,"39,009,815","39,009,815",600,600,"93,386","93,386",0,0,"92,000","92,000","134,647","134,647","25,439","25,439",0,0,0,0
Glen Canyon NRA,"1,655,995","1,655,995","77,287","77,287","24,776,702","24,776,702","474,244","474,244","110,109","110,109","58,004","58,004","45,325","45,325","289,069","289,069","725,302","725,302","13,738","13,738","8,754","8,754"
Golden Gate NRA,"11,321,127","11,321,127",0,0,"31,805,491","31,805,491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,177","5,177"
Golden Spike NHP,"46,657","46,657","26,639","26,639","99,564","99,564","13,322","13,322",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Canyon NP,"2,131,716","2,131,716","178,618","178,618","31,641,767","31,641,767","6,011,573","6,011,573","439,933","439,933","34,883","34,883","111,022","111,022","35,752","35,752","120,472","120,472","22,080","22,080",0,0
Grand Portage NM,"36,931","36,931",0,0,"37,459","37,459",0,0,0,0,0,0,0,0,0,0,386,386,10,10,0,0
Grand Teton NP,"2,446,171","2,446,171","1,020,179","1,020,179","17,871,570","17,871,570","2,036,358","2,036,358","184,331","184,331","55,227","55,227","122,465","122,465","117,590","117,590","24,558","24,558",0,0,"28,110","28,110"
Grant-Kohrs Ranch NHS,"21,325","21,325",0,0,"26,229","26,229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Basin NP,"29,947","29,947",600,600,"64,807","64,807",300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Sand Dunes NP & PRES,"162,546","162,546",201,201,"674,266","674,266",452,452,0,0,0,0,"17,194","17,194","14,915","14,915",387,387,0,0,"4,924","4,924"
Great Smoky Mountains NP,"8,019,788","8,019,788","3,167,151","3,167,151","57,739,316","57,739,316","791,789","791,789","7,532","7,532",0,0,"213,565","213,565","215,495","215,495","80,970","80,970",0,0,"28,485","28,485"
Greenbelt Park,"250,595","250,595","14,187","14,187","1,708,246","1,708,246","3,300","3,300",0,0,0,0,"15,342","15,342","34,074","34,074",0,0,0,0,"1,456","1,456"
Guadalupe Mountains NP,"110,478","110,478",0,0,"404,570","404,570",0,0,0,0,0,0,"8,435","8,435","8,366","8,366","3,090","3,090",0,0,0,0
Guilford Courthouse NMP,"161,485","161,485","652,968","652,968","100,985","100,985","5,439","5,439",0,0,0,0,0,0,0,0,0,0,0,0,77,77
Gulf Islands NS,"2,965,041","2,965,041","17,250","17,250","15,799,017","15,799,017","17,250","17,250",0,0,0,0,"37,563","37,563","90,103","90,103",0,0,0,0,"12,542","12,542"
Haleakala NP,"673,955","673,955","12,502","12,502","1,582,902","1,582,902","12,502","12,502",0,0,0,0,"9,755","9,755","3,251","3,251","5,163","5,163",0,0,"3,863","3,863"
Hamilton Grange NMEM,371,371,36,36,371,371,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hampton NHS,"33,332","33,332",400,400,"52,470","52,470","1,600","1,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harpers Ferry NHP,"437,448","437,448","127,611","127,611","1,749,789","1,749,789","31,904","31,904",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii Volcanoes NP,"1,632,589","1,632,589","633,829","633,829","9,001,804","9,001,804","211,045","211,045","31,909","31,909",0,0,"4,282","4,282","1,618","1,618","7,010","7,010",0,0,"35,938","35,938"
Herbert Hoover NHS,"205,028","205,028","18,000","18,000","205,028","205,028","1,200","1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home of Franklin D. Roosevelt NHS,"266,809","266,809",0,0,"441,609","441,609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homestead NM of America,"18,084","18,084",0,0,"20,968","20,968",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopewell Culture NHP,"51,514","51,514",401,401,"37,847","37,847",444,444,0,0,0,0,0,0,0,0,0,0,0,0,51,51
Hopewell Furnace NHS,"133,450","133,450","1,339","1,339","160,139","160,139","1,603","1,603",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horseshoe Bend NMP,"50,566","50,566","359,125","359,125","111,064","111,064","17,958","17,958",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hot Springs NP,"1,118,800","1,118,800","4,030,074","4,030,074","1,049,896","1,049,896","403,007","403,007",0,0,0,0,"1,606","1,606","7,431","7,431",0,0,0,0,0,0
Hovenweep NM,"14,815","14,815",191,191,"73,384","73,384",782,782,0,0,0,0,"1,191","1,191","2,086","2,086",0,0,52,52,0,0
Hubbell Trading Post NHS,"36,344","36,344","37,117","37,117","72,688","72,688","74,234","74,234",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence NHP,"2,002,333","2,002,333","2,120,470","2,120,470","2,120,799","2,120,799","141,331","141,331",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana Dunes NP,"1,606,166","1,606,166","410,625","410,625","4,156,638","4,156,638","7,391,250","7,391,250",0,0,0,0,0,0,0,0,0,0,"410,625","410,625",0,0
Isle Royale NP,"14,782","14,782",28,28,"1,597,685","1,597,685","13,494","13,494","9,657","9,657",333,333,"27,140","27,140",0,0,"21,144","21,144",630,630,"5,736","5,736"
Jean Lafitte NHP & PRES,"193,121","193,121","9,600","9,600","191,115","191,115",804,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jewel Cave NM,"76,921","76,921",369,369,"125,059","125,059",369,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John D. Rockefeller, Jr. MEM PKWY","1,356,044","1,356,044",0,0,"2,127,512","2,127,512",0,0,"21,259","21,259","34,850","34,850","2,938","2,938","3,623","3,623",300,300,0,0,"5,618","5,618"
John Day Fossil Beds NM,"90,547","90,547",0,0,"55,126","55,126",0,0,0,0,0,0,107,107,787,787,0,0,0,0,0,0
John F. Kennedy NHS,"19,308","19,308",0,0,"6,434","6,434",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Muir NHS,"24,911","24,911","1,448","1,448","52,835","52,835",646,646,0,0,0,0,0,0,0,0,0,0,0,0,425,425
Johnstown Flood NMEM,"42,201","42,201",331,331,"30,340","30,340",331,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Tree NP,"590,543","590,543","2,439","2,439","8,739,111","8,739,111","8,853","8,853",0,0,0,0,"51,000","51,000","76,812","76,812","1,623","1,623",0,0,"35,068","35,068"
Katmai NP & PRES,"10,659","10,659",47,47,"240,193","240,193","3,216","3,216","3,377","3,377",0,0,"2,746","2,746",0,0,"1,703","1,703",139,139,303,303
Kennesaw Mountain NBP,"876,352","876,352","5,748,000","5,748,000","2,119,274","2,119,274","287,940","287,940",0,0,0,0,0,0,0,0,0,0,0,0,"4,149","4,149"
Kings Canyon NP,"804,175","804,175","5,117","5,117","27,224,758","27,224,758","20,468","20,468","20,301","20,301",0,0,"85,137","85,137","83,371","83,371","98,697","98,697",0,0,0,0
Kings Mountain NMP,"212,876","212,876","212,876","212,876","177,643","177,643","45,942","45,942",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klondike Gold Rush NHP Seattle,"37,595","37,595",0,0,"18,798","18,798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Mead NRA,"6,155,100","6,155,100","223,240","223,240","63,380,172","63,380,172","1,339,440","1,339,440","72,154","72,154","452,176","452,176","114,512","114,512","356,516","356,516","372,770","372,770",0,0,"75,398","75,398"
Lake Meredith NRA,"1,849,425","1,849,425",0,0,"5,524,272","5,524,272",0,0,0,0,0,0,0,0,0,0,438,438,0,0,"105,445","105,445"
Lake Roosevelt NRA,"794,710","794,710","4,344","4,344","3,796,370","3,796,370","2,171","2,171",0,0,0,0,"29,204","29,204","88,645","88,645",0,0,0,0,"22,382","22,382"
Lassen Volcanic NP,"380,014","380,014",0,0,"4,957,876","4,957,876",0,0,"3,495","3,495",0,0,"39,225","39,225","32,202","32,202","11,462","11,462",0,0,"4,755","4,755"
Lava Beds NM,"96,565","96,565","40,231","40,231","281,178","281,178","22,160","22,160",0,0,0,0,"5,025","5,025","3,048","3,048",38,38,0,0,0,0
Lewis & Clark NHP,"93,453","93,453",0,0,"70,092","70,092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Boyhood NMEM,"237,793","237,793","7,580","7,580","267,453","267,453","1,107","1,107",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Home NHS,"403,236","403,236",0,0,"403,236","403,236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Memorial,"3,352,343","3,352,343",0,0,"558,724","558,724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Bighorn Battlefield NM,"203,795","203,795","2,059","2,059","203,416","203,416","1,032","1,032",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longfellow House Washington's HQ NHS,"17,739","17,739",0,0,"8,868","8,868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lowell NHP,"92,839","92,839",0,0,"205,454","205,454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyndon B. Johnson NHP,"295,303","295,303",0,0,"400,139","400,139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammoth Cave NP,"1,384,910","1,384,910","173,088","173,088","2,960,039","2,960,039","86,544","86,544","36,618","36,618",0,0,"28,032","28,032","19,900","19,900","2,491","2,491",0,0,"2,042","2,042"
Manassas NBP,"778,444","778,444",0,0,"583,834","583,834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesa Verde NP,"473,715","473,715",762,762,"6,040,057","6,040,057","4,572","4,572","30,441","30,441",0,0,"59,280","59,280","58,440","58,440",0,0,0,0,"6,817","6,817"
Minute Man NHP,"956,954","956,954",0,0,"438,498","438,498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montezuma Castle NM,"382,085","382,085","1,356","1,356","376,387","376,387","1,188","1,188",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moores Creek NB,"44,272","44,272",0,0,"27,672","27,672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morristown NHP,"554,064","554,064",0,0,"385,325","385,325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Rainier NP,"1,516,703","1,516,703","464,751","464,751","21,554,555","21,554,555","464,751","464,751","23,815","23,815",0,0,"28,113","28,113","37,887","37,887","36,931","36,931",6,6,861,861
Mount Rushmore NMEM,"1,245,425","1,245,425","397,332","397,332","1,639,802","1,639,802","132,442","132,442",0,0,0,0,0,0,0,0,0,0,0,0,0,0
